iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,risk_level
BEL,Europe,Belgium,2020-03-06,1.0,0.0,0.0,0.0,0.0,0.0,0.086,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.086,,,,,3530.0,1119.0,0.304,0.096,,,,,tests performed,,,,,,,,,,,,,,13.89,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923,,,,,Low
BEL,Europe,Belgium,2020-03-07,1.0,0.0,0.0,0.0,0.0,0.0,0.086,0.0,0.0,0.0,0.0,0.0,2.43,0.0,0.0,0.0,0.0,,,,,4005.0,475.0,0.345,0.041,,,0.062,16.1,tests performed,,,,,,,,,,,,,,13.89,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923,,,,,Low
SRB,Europe,Serbia,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.146,,,,,91.0,24.0,0.013,0.003,8.0,0.001,,,people tested,,,,,,,,,,,,,,13.89,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,6871547,,,,,Low
ITA,Europe,Italy,2020-03-07,1128.0,0.0,149.857,29.0,0.0,3.857,18.92,0.0,2.514,0.486,0.0,0.065,2.51,567.0,9.604,3218.0,54.508,,,6245.0,105.78,42062.0,5703.0,0.71,0.096,3343.0,0.056,0.2032,4.9,tests performed,,,,,,,,,,,,,,74.54,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472,,,,,Medium
ITA,Europe,Italy,2020-03-08,5883.0,4755.0,679.286,233.0,204.0,29.143,98.676,79.756,11.394,3.908,3.422,0.489,2.45,650.0,11.01,4207.0,71.26,,,6941.0,117.569,49937.0,7875.0,0.843,0.133,4116.0,0.069,0.1972,5.1,tests performed,,,,,,,,,,,,,,74.54,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472,-7883.3994,-5.4,8.53,-132.49283,High
SRB,Europe,Serbia,2020-03-08,1.0,1.0,0.143,0.0,0.0,0.0,0.147,0.147,0.021,0.0,0.0,0.0,,0.0,0.0,1.0,0.146,,,,,94.0,3.0,0.014,0.0,8.0,0.001,,,people tested,,,,,,,,,,,,,,13.89,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,6871547,,,,,Low
BEL,Europe,Belgium,2020-03-08,316.0,315.0,45.0,0.0,0.0,0.0,27.144,27.058,3.865,0.0,0.0,0.0,2.41,0.0,0.0,0.0,0.0,,,,,4488.0,483.0,0.387,0.042,629.0,0.054,0.068,14.7,tests performed,,,,,,,,,,,,,,13.89,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923,-1889.5999,-7.67,-9.63,-163.43593,Low
SVK,Europe,Slovakia,2020-03-08,3.0,3.0,0.429,0.0,0.0,0.0,0.548,0.548,0.078,0.0,0.0,0.0,,2.0,0.354,5.0,0.886,2.0,0.368,7.0,1.288,520.0,76.0,0.095,0.014,,,,,tests performed,,,,,,,,,,,,,,16.67,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455,-595.8,-5.02,-1.76,-109.18725,Low
BEL,Europe,Belgium,2020-03-09,316.0,0.0,45.0,0.0,0.0,0.0,27.144,0.0,3.865,0.0,0.0,0.0,2.41,0.0,0.0,1.0,0.086,,,,,5098.0,610.0,0.439,0.053,671.0,0.058,0.069,14.5,tests performed,,,,,,,,,,,,,,13.89,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923,,,,,Low
SVK,Europe,Slovakia,2020-03-09,3.0,0.0,0.429,0.0,0.0,0.0,0.548,0.0,0.078,0.0,0.0,0.0,,2.0,0.354,5.0,0.886,,,,,589.0,69.0,0.108,0.013,,,,,tests performed,,,,,,,,,,,,,,22.22,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455,,,,,Low
ITA,Europe,Italy,2020-03-09,5883.0,0.0,679.286,233.0,0.0,29.143,98.676,0.0,11.394,3.908,0.0,0.489,2.41,733.0,12.416,5049.0,85.522,,,7702.0,130.46,53826.0,3889.0,0.909,0.066,4354.0,0.073,0.2341,4.3,tests performed,,,,,,,,,,,,,,74.54,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472,,,,,High
SRB,Europe,Serbia,2020-03-09,1.0,0.0,0.143,0.0,0.0,0.0,0.147,0.0,0.021,0.0,0.0,0.0,,0.0,0.0,1.0,0.146,,,,,101.0,7.0,0.015,0.001,8.0,0.001,,,people tested,,,,,,,,,,,,,,13.89,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,6871547,,,,,Low
CYP,Europe,Cyprus,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007,,,,,Low
SVN,Europe,Slovenia,2020-03-10,20.0,0.0,2.857,0.0,0.0,0.0,9.455,0.0,1.351,0.0,0.0,0.0,,1.0,0.472,18.0,8.491,,,,,2069.0,542.0,0.976,0.256,251.0,0.118,0.027,37.0,tests performed,,,,,,,,,,,,,,25.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,2119843,,,,,Low
BEL,Europe,Belgium,2020-03-10,316.0,0.0,45.0,0.0,0.0,0.0,27.144,0.0,3.865,0.0,0.0,0.0,2.4,0.0,0.0,7.0,0.601,,,,,5902.0,804.0,0.508,0.069,709.0,0.061,0.073,13.7,tests performed,,,,,,,,,,,,,,19.44,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923,,,,,Low
CYP,Europe,Cyprus,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007,,,,,Low
ITA,Europe,Italy,2020-03-10,5883.0,0.0,679.286,233.0,0.0,29.143,98.676,0.0,11.394,3.908,0.0,0.489,2.33,877.0,14.855,5915.0,100.191,,,8448.0,143.096,60761.0,6935.0,1.026,0.117,4986.0,0.084,0.2191,4.6,tests performed,,,,,,,,,,,,,,79.63,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472,,,,,High
SRB,Europe,Serbia,2020-03-10,1.0,0.0,0.143,0.0,0.0,0.0,0.147,0.0,0.021,0.0,0.0,0.0,,0.0,0.0,3.0,0.437,,,,,117.0,16.0,0.017,0.002,10.0,0.001,,,people tested,,,,,,,,,,,,,,13.89,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,6871547,,,,,Low
SVK,Europe,Slovakia,2020-03-10,3.0,0.0,0.429,0.0,0.0,0.0,0.548,0.0,0.078,0.0,0.0,0.0,,2.0,0.354,7.0,1.24,,,,,700.0,111.0,0.128,0.02,,,,,tests performed,,,,,,,,,,,,,,33.33,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455,,,,,Low
ITA,Europe,Italy,2020-03-11,5883.0,0.0,679.286,233.0,0.0,29.143,98.676,0.0,11.394,3.908,0.0,0.489,2.29,1028.0,17.413,6866.0,116.299,,,9251.0,156.697,73154.0,12393.0,1.235,0.209,6188.0,0.104,0.2164,4.6,tests performed,,,,,,,,,,,,,,82.41,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472,,,,,High
CZE,Europe,Czechia,2020-03-11,27.0,0.0,3.857,0.0,0.0,0.0,2.53,0.0,0.361,0.0,0.0,0.0,,0.0,0.0,2.0,0.191,0.0,0.0,2.0,0.191,,,,,,,,,,,,,,,,,,,,,,,47.22,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,10493990,,,,,Low
